"the_geom","t_addl","street_nam","f_addl","x","t_zip","fullname","i_strno","z","speed","y","str_nam","id","mounttype","poletype"
"POINT (-122.29119675037539 37.85166282206706)","2,949","7TH","2,929","562,356.570735","94703","7TH","929","-21.758","35","4,189,593.59246","POTTER ST","31","Pole Mast","MASTARM POLE"
"POINT (-122.27157586187528 37.84879006344512)","1,799","ALCATRAZ","1,735","564,085.217068","94703","ALCATRAZ","3,286","-7.921","35","4,189,288.14091","ADELINE ST","32","Single Pole","SINGLE POLE"
"POINT (-122.27171925491731 37.84850892793174)","3,329","ADELINE","3,301","564,072.844151","94703","ADELINE","3,300","-4.287","35","4,189,256.85071","ADELINE ST","33","Pole Mast","MASTARM POLE"
"POINT (-122.26990172134906 37.84902271614839)","1,899","ALCATRAZ","1,819","564,232.304516","94703","ALCATRAZ","1,859","2.913","35","4,189,315.10522","ALCATRAZ AVE","34","Single Pole","SINGLE POLE"
"POINT (-122.27007367900936 37.84886645664185)","1,899","ALCATRAZ","1,819","564,217.31121","94703","ALCATRAZ","1,850","-0.434","35","4,189,297.64966","ALCATRAZ AVE","35","Single Pole","SINGLE POLE"
"POINT (-122.27096108717242 37.84660099031841)","3,401","MARTIN LUTHER KING JR, OA","3,401","564,141.200252","94703","MARTIN LUTHER KING JR","3,363","-2.409","35","4,189,045.68255","M L KING JR WAY","36","Single Pole","SINGLE POLE"
"POINT (-122.2600196635634 37.85287540421096)","6,700","TELEGRAPH, OA","6,610","565,098.328818","94703","TELEGRAPH, OA","3,201","26.575","35","4,189,749.41012","TELEGRAPH AVE","37","Single Pole","SINGLE POLE"
"POINT (-122.29111216284437 37.85151744312335)","999","POTTER","901","562,364.135053","94710","POTTER","901","-22.471","25","4,189,577.51884","ASHBY","38","Pole Mast","MASTARM POLE"
"POINT (-122.29113214233844 37.851489651177)","999","POTTER","901","562,362.400707","94710","POTTER","901","-22.68","25","4,189,574.42216","ASHBY","39","Single Pole","SINGLE POLE"
"POINT (-122.2791308649193 37.85313439831378)","3,015","SACRAMENTO","3,001","563,416.813052","94702","SACRAMENTO","0","-8.727","35","4,189,764.99337","SACRAMENTO ST","40","Pole Mast","MASTARM POLE"
"POINT (-122.27885145509181 37.85318850012274)","3,015","SACRAMENTO","3,001","563,441.348348","94703","SACRAMENTO","1,500","-10.723","35","4,189,771.18568","ASHBY AVE","41","Single Pole","SINGLE POLE"
